n,a,b,ab,z proportion below,M proportion below,z proportion above,M proportion above
50,0,0,0,0,8.00E-04,1.00E-04,0.0018
50,0.14,0,0,4.00E-04,0.0038,6.00E-04,0.0041
50,0.39,0,0,0.006,0.0225,0.0048,0.0237
50,0.59,0,0,0.0141,0.0302,0.0142,0.0322
50,0,0.14,0,1.00E-04,0.0048,1.00E-04,0.0041
50,0,0.39,0,0.0051,0.0208,0.005,0.0227
50,0,0.59,0,0.0121,0.0305,0.0121,0.0271
50,0.14,0.14,0.0196,0.0013,0.0066,0.043,0.0445
50,0.14,0.39,0.0546,0.0043,0.0145,0.0575,0.0604
50,0.14,0.59,0.0826,0.0075,0.017,0.0393,0.0417
50,0.39,0.14,0.0546,0.0033,0.0124,0.0567,0.0599
50,0.39,0.39,0.1521,0.0061,0.0139,0.0744,0.0512
50,0.39,0.59,0.2301,0.0079,0.0147,0.0566,0.0416
50,0.59,0.14,0.0826,0.0096,0.0192,0.0355,0.0389
50,0.59,0.39,0.2301,0.0092,0.0177,0.0576,0.0397
50,0.59,0.59,0.3481,0.0091,0.0169,0.0576,0.0404
100,0,0,0,1.00E-04,0.0012,0,8.00E-04
100,0.14,0,0,9.00E-04,0.0094,8.00E-04,0.0072
100,0.39,0,0,0.0096,0.0269,0.0124,0.0293
100,0.59,0,0,0.0196,0.0279,0.0196,0.0285
100,0,0.14,0,8.00E-04,0.0072,8.00E-04,0.0088
100,0,0.39,0,0.0114,0.0279,0.0112,0.0307
100,0,0.59,0,0.0171,0.025,0.0185,0.0272
100,0.14,0.14,0.0196,0.0016,0.0086,0.0886,0.0938
100,0.14,0.39,0.0546,0.0076,0.0169,0.0522,0.0459
100,0.14,0.59,0.0826,0.0143,0.0225,0.0353,0.0352
100,0.39,0.14,0.0546,0.0056,0.0148,0.0521,0.0484
100,0.39,0.39,0.1521,0.0084,0.0156,0.0574,0.0387
100,0.39,0.59,0.2301,0.0113,0.0181,0.0501,0.0371
100,0.59,0.14,0.0826,0.0143,0.0223,0.0341,0.0341
100,0.59,0.39,0.2301,0.0113,0.0173,0.0478,0.0358
100,0.59,0.59,0.3481,0.0135,0.0193,0.0466,0.0339
200,0,0,0,1.00E-04,0.0011,0,0.001
200,0.14,0,0,0.0017,0.0117,0.0026,0.0138
200,0.39,0,0,0.0186,0.026,0.019,0.0282
200,0.59,0,0,0.0242,0.0278,0.0225,0.0259
200,0,0.14,0,0.0015,0.0119,0.0014,0.0116
200,0,0.39,0,0.0177,0.0281,0.02,0.0302
200,0,0.59,0,0.0219,0.0271,0.0216,0.0262
200,0.14,0.14,0.0196,0.0037,0.0105,0.0882,0.067
200,0.14,0.39,0.0546,0.0099,0.02,0.0415,0.0366
200,0.14,0.59,0.0826,0.0168,0.0214,0.0307,0.0286
200,0.39,0.14,0.0546,0.0122,0.0189,0.0405,0.0347
200,0.39,0.39,0.1521,0.0118,0.0192,0.0468,0.0347
200,0.39,0.59,0.2301,0.0132,0.0187,0.0376,0.0306
200,0.59,0.14,0.0826,0.0166,0.0235,0.0326,0.031
200,0.59,0.39,0.2301,0.0139,0.0194,0.0429,0.033
200,0.59,0.59,0.3481,0.0148,0.0197,0.0396,0.0317
500,0,0,0,0,8.00E-04,0,8.00E-04
500,0.14,0,0,0.0079,0.026,0.0069,0.0262
500,0.39,0,0,0.0219,0.0257,0.022,0.0247
500,0.59,0,0,0.0278,0.029,0.0229,0.0245
500,0,0.14,0,0.0063,0.0249,0.0073,0.0247
500,0,0.39,0,0.0205,0.025,0.0236,0.028
500,0,0.59,0,0.024,0.0254,0.0236,0.0248
500,0.14,0.14,0.0196,0.006,0.0148,0.0676,0.0452
500,0.14,0.39,0.0546,0.0139,0.0204,0.0339,0.0292
500,0.14,0.59,0.0826,0.0197,0.0237,0.0273,0.0259
500,0.39,0.14,0.0546,0.0139,0.0194,0.0343,0.0307
500,0.39,0.39,0.1521,0.0144,0.0197,0.0372,0.0305
500,0.39,0.59,0.2301,0.0173,0.0216,0.0361,0.0309
500,0.59,0.14,0.0826,0.0198,0.0229,0.0286,0.0276
500,0.59,0.39,0.2301,0.0169,0.021,0.0323,0.0267
500,0.59,0.59,0.3481,0.0157,0.0191,0.0327,0.028
1000,0,0,0,0,0.0017,0,8.00E-04
1000,0.14,0,0,0.0131,0.0274,0.0139,0.0281
1000,0.39,0,0,0.0227,0.0242,0.0234,0.0247
1000,0.59,0,0,0.0236,0.0247,0.0232,0.0247
1000,0,0.14,0,0.0137,0.0274,0.0118,0.0238
1000,0,0.39,0,0.0241,0.0261,0.025,0.027
1000,0,0.59,0,0.0281,0.098,0.0252,0.0264
1000,0.14,0.14,0.0196,0.0097,0.0167,0.0535,0.0371
1000,0.14,0.39,0.0546,0.0179,0.0229,0.031,0.0282
1000,0.14,0.59,0.0826,0.0144,0.032,0.0322,0.0301
1000,0.39,0.14,0.0546,0.0198,0.0242,0.0314,0.0289
1000,0.39,0.39,0.1521,0.0175,0.021,0.0335,0.0275
1000,0.39,0.59,0.2301,0.0105,0.0127,0.036,0.0319
1000,0.59,0.14,0.0826,0.0207,0.0237,0.0255,0.0247
1000,0.59,0.39,0.2301,0.0209,0.0322,0.029,0.0253
1000,0.59,0.59,0.3481,0.0093,0.0137,0.0414,0.0368
