n,a,b,ab,z reject rate,M reject rate,jackknife reject rate,percentile boot reject rate,bias-corrected boot reject rate,boot-t reject rate,boot-Q reject rate,Monte Carlo reject rate
25,0,0,0,0,0.002,0.001,0.004,0.012,0.011,0.011,0.002
25,0,0.14,0,0.001,0.007,0.004,0.006,0.012,0.011,0.011,0.004
25,0,0.39,0,0.003,0.036,0.01,0.03,0.056,0.059,0.059,0.025
25,0,0.59,0,0.012,0.058,0.022,0.04,0.068,0.074,0.074,0.043
25,0.14,0.14,0.0196,0.003,0.016,0.007,0.012,0.017,0.03,0.03,0.01
25,0.39,0.39,0.1521,0.083,0.211,0.096,0.169,0.252,0.248,0.248,0.183
25,0.59,0.59,0.3481,0.397,0.623,0.355,0.547,0.679,0.642,0.642,0.581
25,0.14,0.39,0.0546,0.014,0.051,0.023,0.039,0.074,0.077,0.077,0.039
25,0.14,0.59,0.0826,0.028,0.095,0.038,0.077,0.118,0.124,0.124,0.076
25,0.39,0.59,0.2301,0.216,0.359,0.209,0.319,0.413,0.42,0.42,0.332
50,0,0,0,0,0.005,0,0.004,0.008,0.005,0.005,0.002
50,0,0.14,0,0.001,0.01,0.001,0.01,0.023,0.02,0.02,0.009
50,0,0.39,0,0.01,0.044,0.01,0.042,0.077,0.068,0.068,0.032
50,0,0.59,0,0.022,0.054,0.02,0.053,0.096,0.091,0.091,0.046
50,0.14,0.14,0.0196,0.002,0.024,0.004,0.022,0.049,0.043,0.043,0.015
50,0.39,0.39,0.1521,0.334,0.582,0.329,0.508,0.629,0.628,0.628,0.536
50,0.59,0.59,0.3481,0.897,0.957,0.858,0.942,0.954,0.956,0.956,0.948
50,0.14,0.39,0.0546,0.041,0.133,0.04,0.103,0.177,0.169,0.169,0.109
50,0.14,0.59,0.0826,0.117,0.193,0.119,0.183,0.233,0.238,0.238,0.173
50,0.39,0.59,0.2301,0.616,0.759,0.57,0.718,0.777,0.781,0.781,0.73
100,0,0,0,0.001,0.003,0.001,0.002,0.009,0.007,0.007,0.002
100,0,0.14,0,0.001,0.01,0.002,0.011,0.034,0.027,0.027,0.007
100,0,0.39,0,0.02,0.055,0.021,0.046,0.08,0.083,0.083,0.048
100,0,0.59,0,0.042,0.058,0.044,0.054,0.073,0.078,0.078,0.055
100,0.14,0.14,0.0196,0.018,0.086,0.026,0.069,0.127,0.111,0.111,0.072
100,0.39,0.39,0.1521,0.871,0.94,0.845,0.923,0.954,0.958,0.958,0.928
100,0.59,0.59,0.3481,1,1,0.998,0.999,1,1,1,1
100,0.14,0.39,0.0546,0.171,0.295,0.174,0.275,0.335,0.349,0.349,0.27
100,0.14,0.59,0.0826,0.225,0.282,0.224,0.271,0.32,0.34,0.34,0.269
100,0.39,0.59,0.2301,0.952,0.968,0.948,0.966,0.974,0.974,0.974,0.964
200,0,0,0,0,0.002,0,0,0.003,0.004,0.004,0.001
200,0,0.14,0,0.006,0.027,0.006,0.024,0.047,0.035,0.035,0.02
200,0,0.39,0,0.044,0.058,0.041,0.056,0.078,0.085,0.085,0.056
200,0,0.59,0,0.046,0.053,0.044,0.056,0.062,0.072,0.072,0.054
200,0.14,0.14,0.0196,0.083,0.252,0.081,0.213,0.316,0.293,0.293,0.214
200,0.39,0.39,0.1521,0.998,0.998,0.997,0.998,0.998,0.999,0.999,0.998
200,0.59,0.59,0.3481,1,1,1,1,1,1,1,1
200,0.14,0.39,0.0546,0.428,0.502,0.424,0.496,0.532,0.557,0.557,0.483
200,0.14,0.59,0.0826,0.467,0.507,0.467,0.497,0.523,0.548,0.548,0.503
200,0.39,0.59,0.2301,0.999,1,0.999,0.999,0.999,0.999,0.999,1
